zona,tier,lat,lon,u_sel,false_negative,false_positive,HE
573-D,3,-9.0,120.0,1.4321,0.0199,0.0199,0.1615
573-D,3,-9.0,120.5,1.1048,0.0194,0.0194,0.1846
573-D,3,-9.0,121.0,1.0565,0.0248,0.0248,-0.0412
573-D,3,-9.0,121.5,1.2104,0.0219,0.0219,0.0786
573-D,3,-9.0,122.0,1.3275,0.0172,0.0172,0.2767
573-D,3,-9.0,122.5,1.4329,0.0184,0.0184,0.226
573-D,3,-9.0,124.0,1.1582,0.0197,0.0197,0.1708
573-D,3,-9.0,124.5,0.9698,0.0197,0.0197,0.1708
573-D,3,-9.5,119.5,1.294,0.0164,0.0164,0.309
573-D,3,-9.5,120.0,0.9712,0.0229,0.0229,0.0371
573-D,3,-9.5,120.5,1.1586,0.0238,0.0238,0.0003
573-D,3,-9.5,121.0,1.5082,0.0187,0.0187,0.2122
573-D,3,-9.5,123.5,1.3405,0.0206,0.0206,0.1339
573-D,3,-9.5,124.0,0.9817,0.0243,0.0243,-0.0227
573-D,3,-10.0,119.5,2.6295,0.0172,0.0172,0.2767
573-D,3,-10.0,121.0,1.7198,0.0208,0.0208,0.1247
573-D,3,-10.0,123.5,1.2362,0.0207,0.0207,0.1293
573-D,3,-10.5,119.5,2.7556,0.0143,0.0143,0.3965
573-D,3,-10.5,120.0,2.6313,0.0135,0.0135,0.4333
573-D,3,-10.5,120.5,2.434,0.0128,0.0128,0.461
573-D,3,-10.5,121.0,2.4671,0.0114,0.0114,0.5209
573-F,1,-8.0,125.0,1.0176,0.0541,0.0541,0.1515
573-F,1,-8.0,125.5,1.0337,0.0553,0.0553,0.1326
573-F,1,-8.0,126.0,0.7862,0.0582,0.0582,0.088
573-F,1,-8.0,126.5,0.8149,0.0346,0.0346,0.4573
573-F,1,-8.0,127.0,1.1302,0.0286,0.0286,0.5517
573-F,1,-8.0,127.5,1.2436,0.033,0.033,0.483
573-F,1,-8.5,127.5,1.3829,0.0202,0.0202,0.684
573-F,1,-9.0,126.0,0.945,0.0256,0.0256,0.5981
573-F,1,-9.0,126.5,1.2455,0.0238,0.0238,0.6273
573-F,1,-9.0,127.0,1.4123,0.0208,0.0208,0.6737
573-F,1,-9.0,127.5,1.5513,0.0196,0.0196,0.6926
573-F,1,-9.5,125.5,1.1615,0.0229,0.0229,0.641
573-F,1,-9.5,126.0,1.353,0.0186,0.0186,0.708
573-F,1,-10.0,124.5,1.1327,0.0292,0.0292,0.5414
573-F,1,-10.0,125.0,1.289,0.0207,0.0207,0.6754
573-F,1,-10.0,125.5,1.4594,0.0209,0.0209,0.6719
573-F,1,-10.5,123.5,1.3528,0.0283,0.0283,0.5569
573-F,1,-10.5,124.0,1.5433,0.0242,0.0242,0.6204
573-F,1,-10.5,124.5,1.5636,0.0268,0.0268,0.5792
573-F,2,-8.0,125.0,1.1157,0.0438,0.0438,0.0264
573-F,2,-8.0,125.5,1.1354,0.0459,0.0459,-0.0198
573-F,2,-8.0,126.0,0.8649,0.0472,0.0472,-0.049
573-F,2,-8.0,126.5,0.8969,0.0261,0.0261,0.4207
573-F,2,-8.0,127.0,1.239,0.0212,0.0212,0.5278
573-F,2,-8.0,127.5,1.3694,0.0244,0.0244,0.4572
573-F,2,-8.5,127.5,1.5093,0.0143,0.0143,0.6812
573-F,2,-9.0,126.0,1.0479,0.0194,0.0194,0.5692
573-F,2,-9.0,126.5,1.3743,0.0173,0.0173,0.6154
573-F,2,-9.0,127.0,1.5463,0.016,0.016,0.6446
573-F,2,-9.0,127.5,1.6947,0.0157,0.0157,0.6519
573-F,2,-9.5,125.5,1.2808,0.0169,0.0169,0.6252
573-F,2,-9.5,126.0,1.4818,0.0136,0.0136,0.6982
573-F,2,-10.0,124.5,1.2573,0.0211,0.0211,0.5302
573-F,2,-10.0,125.0,1.4143,0.0161,0.0161,0.6422
573-F,2,-10.0,125.5,1.5861,0.0154,0.0154,0.6568
573-F,2,-10.5,123.5,1.4697,0.0197,0.0197,0.5619
573-F,2,-10.5,124.0,1.6768,0.0165,0.0165,0.6325
573-F,2,-10.5,124.5,1.6978,0.0185,0.0185,0.5887
573-F,3,-8.0,125.0,1.2844,0.0283,0.0283,-0.1886
573-F,3,-8.0,125.5,1.3099,0.0302,0.0302,-0.2715
573-F,3,-8.0,126.0,1.0046,0.0308,0.0308,-0.2946
573-F,3,-8.0,126.5,1.0181,0.0172,0.0172,0.2767
573-F,3,-8.0,127.0,1.3961,0.0133,0.0133,0.4426
573-F,3,-8.0,127.5,1.5452,0.0165,0.0165,0.3044
573-F,3,-8.5,127.5,1.7113,0.0102,0.0102,0.5716
573-F,3,-9.0,126.0,1.2334,0.0107,0.0107,0.5485
573-F,3,-9.0,126.5,1.5903,0.009,0.009,0.6222
573-F,3,-9.0,127.0,1.7585,0.0087,0.0087,0.6361
573-F,3,-9.0,127.5,1.9029,0.0089,0.0089,0.6268
573-F,3,-9.5,125.5,1.4897,0.0094,0.0094,0.6038
573-F,3,-9.5,126.0,1.6983,0.0081,0.0081,0.6591
573-F,3,-10.0,124.5,1.4683,0.012,0.012,0.4932
573-F,3,-10.0,125.0,1.646,0.009,0.009,0.6222
573-F,3,-10.0,125.5,1.8256,0.0087,0.0087,0.6361
573-F,3,-10.5,123.5,1.6545,0.0114,0.0114,0.5209
573-F,3,-10.5,124.0,1.9067,0.0092,0.0092,0.613
573-F,3,-10.5,124.5,1.9414,0.0113,0.0113,0.5255
