zona,tahun,bulan,n_episode,n_hari_terpicu,hari_dalam_bulan,musim
6,2023,2,2,9,28,Barat
6,2023,3,0,3,31,Peralihan I
6,2023,4,1,2,30,Peralihan I
6,2023,5,3,9,31,Peralihan I
6,2023,6,0,0,30,Timur
6,2023,7,4,8,31,Timur
6,2023,8,2,4,31,Timur
6,2023,9,0,0,30,Peralihan II
6,2023,10,0,0,31,Peralihan II
6,2023,11,0,0,30,Peralihan II
6,2023,12,0,0,31,Barat
6,2024,1,3,8,31,Barat
6,2024,2,0,0,29,Barat
6,2024,3,1,4,31,Peralihan I
6,2024,4,0,0,30,Peralihan I
6,2024,5,1,4,31,Peralihan I
6,2024,6,3,8,30,Timur
6,2024,7,3,10,31,Timur
6,2024,8,0,0,31,Timur
6,2024,9,1,1,30,Peralihan II
6,2024,10,0,0,31,Peralihan II
6,2024,11,0,0,30,Peralihan II
6,2024,12,0,0,31,Barat
6,2025,1,0,0,31,Barat
6,2025,2,1,10,28,Barat
6,2025,3,0,0,31,Peralihan I
6,2025,4,0,0,30,Peralihan I
6,2025,5,1,3,31,Peralihan I
6,2025,6,2,7,30,Timur
6,2025,7,0,2,31,Timur
6,2025,8,2,4,31,Timur
6,2025,9,1,1,30,Peralihan II
6,2025,10,0,0,31,Peralihan II
6,2025,11,1,1,30,Peralihan II
6,2025,12,0,0,31,Barat
7,2021,1,1,6,31,Barat
7,2021,2,1,8,28,Barat
7,2021,3,0,0,31,Peralihan I
7,2021,4,1,1,30,Peralihan I
7,2021,5,1,2,31,Peralihan I
7,2021,6,1,1,30,Timur
7,2021,7,1,2,31,Timur
7,2021,8,2,4,31,Timur
7,2021,9,2,6,30,Peralihan II
7,2021,10,0,0,31,Peralihan II
7,2021,11,0,0,30,Peralihan II
7,2021,12,1,5,31,Barat
7,2022,1,2,6,31,Barat
7,2022,2,1,9,28,Barat
7,2022,3,0,0,31,Peralihan I
7,2022,4,0,0,30,Peralihan I
7,2022,5,1,2,31,Peralihan I
7,2022,6,3,10,30,Timur
7,2022,7,2,8,31,Timur
7,2022,8,2,4,31,Timur
7,2022,9,0,0,30,Peralihan II
7,2022,10,0,0,31,Peralihan II
7,2022,11,0,0,30,Peralihan II
7,2022,12,1,4,31,Barat
7,2023,1,0,8,31,Barat
7,2023,2,2,8,28,Barat
7,2023,3,0,4,31,Peralihan I
7,2023,4,1,1,30,Peralihan I
