zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,75,0.25,-8.5,113.5,0.4437621048017705,0.09090909090909091
573-A,1,75,0.25,-8.5,114.0,0.4309632774986424,0.09090909090909091
573-A,1,75,0.25,-8.5,114.5,0.27897537685405194,0.13333333333333333
573-A,1,75,0.25,-8.5,115.5,0.2986248556820057,0.06976744186046512
573-A,1,75,0.25,-9.0,114.5,0.35810988702547175,0.09090909090909091
573-A,1,75,0.25,-9.0,115.0,0.35775831750720966,0.09090909090909091
573-A,1,75,0.25,-9.0,115.5,0.3378366254888763,0.045454545454545456
573-A,1,75,0.25,-9.0,117.0,0.13324241160914596,0.09302325581395349
573-A,1,75,0.25,-9.0,117.5,0.1620222176394921,0.11363636363636363
573-A,1,75,0.25,-9.0,118.0,0.15812492595141414,0.09090909090909091
573-A,1,75,0.25,-9.0,118.5,0.19513971269139863,0.0975609756097561
573-A,1,75,0.25,-9.0,119.0,0.14390500318359534,0.13953488372093023
573-A,1,76,0.25,-7.0,106.0,0.190719098135398,0.11363636363636363
573-A,1,76,0.25,-7.5,106.0,0.18366650767909953,0.10869565217391304
573-A,1,76,0.25,-7.5,106.5,0.31005655209901317,0.08888888888888889
573-A,1,76,0.25,-7.5,107.0,0.3301082543450391,0.02564102564102564
573-A,1,76,0.25,-7.5,107.5,0.32970741006089754,0.06382978723404255
573-A,1,76,0.25,-8.0,107.5,0.3595836615124387,0.0851063829787234
573-A,1,76,0.25,-8.0,108.0,0.44403037361944087,0.06818181818181818
573-A,1,76,0.25,-8.0,108.5,0.42048440463672143,0.0625
573-A,1,76,0.25,-8.0,109.0,0.4436877009443755,0.07142857142857142
573-A,1,76,0.25,-8.0,109.5,0.46813033971123275,0.06521739130434782
573-A,1,76,0.25,-8.5,109.5,0.4099058295171647,0.06666666666666667
573-A,1,76,0.25,-8.5,110.0,0.4156893996997524,0.09090909090909091
573-A,1,76,0.25,-8.5,110.5,0.4600286886654771,0.06666666666666667
573-A,1,76,0.25,-8.5,111.0,0.4871802631774148,0.06976744186046512
573-A,1,76,0.25,-8.5,111.5,0.49166984337051867,0.04878048780487805
573-A,1,76,0.25,-8.5,112.0,0.49584913117041896,0.06521739130434782
573-A,1,76,0.25,-8.5,112.5,0.5030266395169138,0.046511627906976744
573-A,1,76,0.25,-8.5,113.0,0.5332399186548287,0.0851063829787234
573-A,1,76,0.25,-8.5,113.5,0.5141691252560452,0.09090909090909091
573-A,1,76,0.25,-8.5,114.0,0.5006995147252672,0.06818181818181818
573-A,1,76,0.25,-8.5,114.5,0.39921241558755527,0.1111111111111111
573-A,1,76,0.25,-8.5,115.5,0.4295547789872999,0.046511627906976744
573-A,1,76,0.25,-9.0,114.5,0.44666619886323755,0.06818181818181818
573-A,1,76,0.25,-9.0,115.0,0.4427116304424281,0.06818181818181818
573-A,1,76,0.25,-9.0,115.5,0.4565787659171546,0.045454545454545456
573-A,1,76,0.25,-9.0,117.0,0.27689040202861304,0.06976744186046512
573-A,1,76,0.25,-9.0,117.5,0.3029843046873062,0.06818181818181818
573-A,1,76,0.25,-9.0,118.0,0.28666318795862855,0.06818181818181818
573-A,1,76,0.25,-9.0,118.5,0.309568336885936,0.04878048780487805
573-A,1,76,0.25,-9.0,119.0,0.24438511626267712,0.09302325581395349
573-A,1,77,0.25,-7.0,106.0,0.2696728820070329,0.11363636363636363
573-A,1,77,0.25,-7.5,106.0,0.253228274348946,0.10869565217391304
573-A,1,77,0.25,-7.5,106.5,0.3565918213748118,0.08888888888888889
573-A,1,77,0.25,-7.5,107.0,0.35601501031198135,0.02564102564102564
573-A,1,77,0.25,-7.5,107.5,0.3628524640499462,0.10638297872340426
