zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-A,1,2009,1,15,2936,31,1,1,0.971139,0.238513,0.886224,0.463258,Barat,2.2909
573-A,1,2009,2,46,2967,28,1,4,0.715044,0.699079,0.022576,0.999745,Barat,2.2909
573-A,1,2009,3,74,2995,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,2.2909
573-A,1,2009,4,105,3026,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,2.2909
573-A,1,2009,5,135,3056,31,1,2,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,2.2909
573-A,1,2009,6,166,3087,30,3,5,-0.954388,0.298569,0.821713,-0.569901,Timur,2.2909
573-A,1,2009,7,196,3117,31,2,7,-0.977426,-0.211276,0.910725,0.413013,Timur,2.2909
573-A,1,2009,8,227,3148,31,3,7,-0.734304,-0.67882,0.078406,0.996922,Timur,2.2909
573-A,1,2009,9,258,3179,30,3,12,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,2.2909
573-A,1,2009,10,288,3209,31,2,2,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,2.2909
573-A,1,2009,11,319,3240,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
573-A,1,2009,12,349,3270,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,2.2909
573-A,1,2010,1,15,3301,31,1,2,0.972156,0.234334,0.890175,0.455618,Barat,2.2909
573-A,1,2010,2,46,3332,28,0,0,0.718044,0.695998,0.031174,0.999514,Barat,2.2909
573-A,1,2010,3,74,3360,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,2.2909
573-A,1,2010,4,105,3391,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,2.2909
573-A,1,2010,5,135,3421,31,0,0,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,2.2909
573-A,1,2010,6,166,3452,30,3,9,-0.953095,0.30267,0.816781,-0.576948,Timur,2.2909
573-A,1,2010,7,196,3482,31,1,9,-0.978326,-0.20707,0.914244,0.405165,Timur,2.2909
573-A,1,2010,8,227,3513,31,2,8,-0.737217,-0.675656,0.086977,0.99621,Timur,2.2909
573-A,1,2010,9,258,3544,30,3,5,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,2.2909
573-A,1,2010,10,288,3574,31,1,3,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,2.2909
573-A,1,2010,11,319,3605,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,2.2909
573-A,1,2010,12,349,3635,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,2.2909
573-A,1,2011,1,15,3666,31,2,10,0.973155,0.230151,0.894061,0.447945,Barat,2.2909
573-A,1,2011,2,46,3697,28,1,1,0.721031,0.692903,0.03977,0.999209,Barat,2.2909
573-A,1,2011,3,74,3725,31,0,0,0.318001,0.94809,-0.79775,0.602988,Peralihan I,2.2909
573-A,1,2011,4,105,3756,30,1,2,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,2.2909
573-A,1,2011,5,135,3786,31,1,1,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,2.2909
573-A,1,2011,6,166,3817,30,2,9,-0.951785,0.306767,0.811789,-0.583951,Timur,2.2909
573-A,1,2011,7,196,3847,31,2,6,-0.979208,-0.202861,0.917695,0.397286,Timur,2.2909
