lat,lon,zona,korelasi_thd_indeks
-11.0000,123.0000,4,0.9312
-11.0000,123.5000,6,0.9109
-11.0000,124.0000,6,0.8993
-11.0000,124.5000,6,0.8912
-11.0000,125.0000,6,0.8779
-11.0000,125.5000,6,0.8711
-11.0000,126.0000,6,0.8657
-11.0000,126.5000,6,0.8608
-11.0000,127.0000,6,0.8560
-11.0000,127.5000,6,0.8472
-11.0000,128.0000,6,0.8379
-11.5000,104.0000,1,0.8100
-11.5000,104.5000,1,0.8201
-11.5000,105.0000,1,0.8298
-11.5000,105.5000,1,0.8398
-11.5000,106.0000,1,0.8508
-11.5000,106.5000,1,0.8612
-11.5000,107.0000,1,0.8717
-11.5000,107.5000,1,0.8813
-11.5000,108.0000,1,0.8899
-11.5000,108.5000,1,0.8976
-11.5000,109.0000,1,0.9043
-11.5000,109.5000,1,0.9103
-11.5000,110.0000,1,0.9158
-11.5000,110.5000,1,0.9201
-11.5000,111.0000,1,0.9232
-11.5000,111.5000,1,0.9253
-11.5000,112.0000,1,0.9267
-11.5000,112.5000,1,0.9283
-11.5000,113.0000,1,0.9290
-11.5000,113.5000,1,0.9283
-11.5000,114.0000,1,0.9268
-11.5000,114.5000,1,0.9238
-11.5000,115.0000,1,0.9194
-11.5000,115.5000,1,0.9142
-11.5000,116.0000,1,0.9077
-11.5000,116.5000,1,0.8995
-11.5000,117.0000,1,0.8896
-11.5000,117.5000,4,0.8839
-11.5000,118.0000,4,0.8977
-11.5000,118.5000,4,0.9101
-11.5000,119.0000,4,0.9202
-11.5000,119.5000,4,0.9286
-11.5000,120.0000,4,0.9348
-11.5000,120.5000,4,0.9390
-11.5000,121.0000,4,0.9414
-11.5000,121.5000,4,0.9400
-11.5000,122.0000,4,0.9340
-11.5000,122.5000,4,0.9229
-11.5000,123.0000,4,0.9014
-11.5000,123.5000,4,0.8550
-11.5000,124.0000,6,0.8381
-11.5000,124.5000,6,0.8349
-11.5000,125.0000,5,0.8324
-11.5000,125.5000,5,0.8486
-11.5000,126.0000,5,0.8597
-11.5000,126.5000,5,0.8665
-11.5000,127.0000,5,0.8686
-11.5000,127.5000,5,0.8672
-11.5000,128.0000,5,0.8637
-12.0000,104.0000,1,0.7952
-12.0000,104.5000,1,0.8053
-12.0000,105.0000,1,0.8142
-12.0000,105.5000,1,0.8223
-12.0000,106.0000,1,0.8324
-12.0000,106.5000,1,0.8434
-12.0000,107.0000,1,0.8546
-12.0000,107.5000,1,0.8648
-12.0000,108.0000,1,0.8742
-12.0000,108.5000,1,0.8825
-12.0000,109.0000,1,0.8900
-12.0000,109.5000,1,0.8967
-12.0000,110.0000,1,0.9028
-12.0000,110.5000,1,0.9078
-12.0000,111.0000,1,0.9114
-12.0000,111.5000,1,0.9140
-12.0000,112.0000,1,0.9158
-12.0000,112.5000,1,0.9173
-12.0000,113.0000,1,0.9178
-12.0000,113.5000,1,0.9170
-12.0000,114.0000,1,0.9148
-12.0000,114.5000,1,0.9113
-12.0000,115.0000,1,0.9069
-12.0000,115.5000,1,0.9018
-12.0000,116.0000,1,0.8956
-12.0000,116.5000,1,0.8876
-12.0000,117.0000,1,0.8780
-12.0000,117.5000,4,0.8702
-12.0000,118.0000,4,0.8838
-12.0000,118.5000,4,0.8963
-12.0000,119.0000,4,0.9066
-12.0000,119.5000,4,0.9143
-12.0000,120.0000,4,0.9194
-12.0000,120.5000,4,0.9220
-12.0000,121.0000,4,0.9229
-12.0000,121.5000,4,0.9205
-12.0000,122.0000,4,0.9129
-12.0000,122.5000,4,0.8990
-12.0000,123.0000,4,0.8618
-12.0000,123.5000,4,0.8129
-12.0000,124.0000,5,0.8191
-12.0000,124.5000,5,0.8386
-12.0000,125.0000,5,0.8588
-12.0000,125.5000,5,0.8761
-12.0000,126.0000,5,0.8891
-12.0000,126.5000,5,0.8992
-12.0000,127.0000,5,0.9045
-12.0000,127.5000,5,0.9051
-12.0000,128.0000,5,0.9014
-12.5000,104.0000,1,0.7793
-12.5000,104.5000,1,0.7896
-12.5000,105.0000,1,0.7985
-12.5000,105.5000,1,0.8077
-12.5000,106.0000,1,0.8179
-12.5000,106.5000,1,0.8269
-12.5000,107.0000,1,0.8376
