zona,tier,musim,cacah,phi_dipakai,lambda_musim,massa,E_W,sd_W,E_W_data,sd_W_data,f,E_payout,p_bayar,W_q99,dijual,premi_musim
573-A,3,Timur,Binomial,0.6818181818181818,4.582147370633468,0.9999999999999991,10.607671163016468,4.923808831026244,10.24,4.323193264243457,7,4.1555603005616035,0.7154557423055301,24,False,2784225.4013762744
573-A,3,Peralihan II,Poisson,1.0,1.7833940725764648,1.0,4.128557278014516,3.5445749027635447,4.64,4.433583952815901,1,3.2954550066325012,0.748009065100401,15,False,2207954.854443776
573-A,3,Peralihan II,Binomial,1.0,1.7833940725764648,1.0000000000584601,4.128557278255872,3.544573554523696,4.64,4.433583952815901,1,3.2954548646958246,0.7480092059195583,15,False,2207954.7593462025
573-D,1,Barat,Poisson,1.0,2.5748761772768387,0.9999999999999997,9.134337276931799,6.67778613397907,11.208333333333334,3.9118456298637425,4,5.603913916415597,0.7175024498673942,28,False,1272088.4590263406
573-D,1,Barat,Binomial,0.5454545454545454,2.5748761772768387,0.999999999999999,9.13433727693179,5.539567498433928,11.208333333333334,3.9118456298637425,5,4.72490783624615,0.7166917426125192,24,False,1072554.078827876
573-D,1,Peralihan I,Poisson,1.0,2.5198950442009407,0.9999999999999998,8.93929247523797,6.6061062987432795,8.04,5.608624311421354,4,5.444939057907938,0.707929306408093,28,False,1236001.166145102
573-D,1,Peralihan I,Binomial,0.7375621890547264,2.5198950442009407,0.9999999999999998,8.93929247523797,5.970724029337734,8.04,5.608624311421354,4,5.384136440482306,0.7384705906975905,25,False,1222198.9719894836
573-D,1,Timur,Poisson,1.0,7.11582884582192,0.9999999999999994,25.2433034474688,11.101127181695507,25.8,7.947746011710909,17,8.43710962290171,0.7408279200726184,55,False,1915223.884398688
573-D,1,Timur,Binomial,0.6216085271317829,7.11582884582192,1.0000000000000004,25.243303447468826,9.470844736509697,25.8,7.947746011710909,18,7.805598277763919,0.7492155286719028,50,False,1771870.8090524096
573-D,1,Peralihan II,Poisson,1.0,2.069802116064355,0.9999999999999999,7.342594098887515,5.987130779509241,5.92,4.707440918375928,2,5.561255654652037,0.7473959414691007,25,False,1262405.0336060124
573-D,1,Peralihan II,Binomial,0.7179487179487178,2.069802116064355,1.0000000000000004,7.342594098887518,5.305071114315471,5.92,4.707440918375928,3,4.752271025154435,0.7208960667016255,22,False,1078765.5227100567
