zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,1,85,80,0.5,2.1963,0.5503400810767475,0.42573912095500505,0.3595489840694459,0.16759237532102633,0.22272727272727272,0.47474747474747475,9.23,2002910.0
573-A,1,85,81,0.0,2.2133,0.43515452439551844,0.3015670962685117,0.16835439998818014,0.0022229541794759186,0.0021739130434782917,0.9797979797979798,51.995,11282915.0
573-A,1,85,81,0.25,2.2133,0.666305828306433,0.5275343657906738,0.35343592092432274,0.01873504124584115,0.04556025369978858,0.696969696969697,19.803333333333335,4297323.333333334
573-A,1,85,81,0.5,2.2133,0.5645265834589769,0.4336390998842639,0.38267326480139996,0.1587295095420837,0.20454545454545456,0.47474747474747475,9.256666666666666,2008696.6666666665
573-A,1,85,82,0.0,2.2319,0.45441774053323447,0.32301671409963234,0.19067200289589548,0.0022229541794759186,0.0021739130434782917,0.9797979797979798,50.545,10968265.0
573-A,1,85,82,0.25,2.2319,0.6905216029007656,0.5395115346508098,0.2894861262965044,0.018735041245841154,0.04556025369978858,0.696969696969697,19.673333333333332,4269113.333333333
573-A,1,85,82,0.5,2.2319,0.5639937728760649,0.4147325385879865,0.38256567643633943,0.17384109524057753,0.23563829787234045,0.4444444444444444,8.57,1859690.0
573-A,1,85,83,0.0,2.2506,0.47324701659501617,0.32931120577528195,0.2362371088324814,0.0022229541794759186,0.0021739130434782917,0.9595959595959596,49.006666666666675,10634446.666666668
573-A,1,85,83,0.25,2.2506,0.6971320605076265,0.5617348144738596,0.31077040424337354,0.01797966570613586,0.046511627906976744,0.696969696969697,20.01833333333333,4343978.333333333
573-A,1,85,83,0.5,2.2506,0.6183982681720572,0.4780593260623581,0.40162820247628617,0.12258009414894398,0.17137330754352031,0.48484848484848486,10.62,2304540.0
573-A,1,85,84,0.0,2.2687,0.4857091510550287,0.340692893668343,0.26593481280104025,0.0022229541794759186,0.0021739130434782917,0.9494949494949495,47.06666666666667,10213466.666666668
573-A,1,85,84,0.25,2.2687,0.708047632636056,0.5750648733504959,0.2918796725865076,0.01644689615011049,0.045454545454545456,0.696969696969697,19.72,4279240.0
573-A,1,85,84,0.5,2.2687,0.5755856152178033,0.42974858430711793,0.3580863449661654,0.21448716409398075,0.2956963249516441,0.41414141414141414,8.406666666666666,1824246.6666666665
573-A,1,85,85,0.0,2.2909,0.4962284786756818,0.36331744814148026,0.2983400313229514,0.0022229541794759186,0.0021739130434782917,0.9494949494949495,45.81,9940770.0
573-A,1,85,85,0.25,2.2909,0.7172972240859375,0.5955258641221476,0.297539412251411,0.01580994368129502,0.04673851389676688,0.6767676767676768,18.785,4076345.0
573-A,1,85,85,0.5,2.2909,0.5988157656826136,0.45857569285089833,0.38406167814189884,0.12429913887906267,0.1709692671394799,0.48484848484848486,9.055,1964935.0
573-A,1,85,86,0.0,2.3153,0.5266975830521645,0.37071460685855134,0.2966085886941874,0.0022229541794759186,0.0021739130434782917,0.9494949494949495,43.785,9501345.0
573-A,1,85,86,0.25,2.3153,0.7077603941420644,0.5809664261327456,0.21332943027688311,0.02507379891260662,0.06426499032882012,0.6767676767676768,18.351666666666667,3982311.6666666665
573-A,1,85,86,0.5,2.3153,0.6323657532269675,0.4995610809017584,0.2809397254809255,0.12436904450530663,0.18700707785642065,0.47474747474747475,10.818333333333333,2347578.3333333335
573-A,1,85,87,0.0,2.3405,0.5438836828337692,0.3971343423635171,0.32976363730386204,0.0022229541794759186,0.0021739130434782917,0.9494949494949495,41.574999999999996,9021775.0
573-A,1,85,87,0.25,2.3405,0.6988106969133114,0.5690515632676677,0.29302565674773207,0.03473090367956337,0.06426499032882012,0.6464646464646465,16.021666666666665,3476701.666666666
573-A,1,85,87,0.5,2.3405,0.6007177835978995,0.46161842387180874,0.3063185189562957,0.15320636388150122,0.21978319783197833,0.46464646464646464,9.89,2146130.0
