zona,tier,musim,severitas,lambda_musim,f,E_payout_hari,p_bayar,b_k,premi_musim,dijual
573-D,3,Barat,empiris,1.6595843656788367,1,3.7481730416679326,0.7102940435346599,,,False
573-D,3,Peralihan I,empiris,0.8768992458042826,0,2.411942937491901,0.5839289524003679,,,False
573-D,3,Timur,empiris,3.3196708790002374,5,4.752793417113867,0.6863767199681385,,,False
573-D,3,Peralihan II,empiris,0.7173420192417984,0,1.9734024549040765,0.5119522449665808,,,False
573-D,3,Barat,parametrik,1.6595843656788367,1,3.703816761669386,0.69966004638767,,,False
573-D,3,Peralihan I,parametrik,0.8768992458042826,0,2.3882197302351393,0.5839289524003678,,,False
573-D,3,Timur,parametrik,3.3196708790002374,4,5.4086373277334845,0.7483351593101348,,,False
573-D,3,Peralihan II,parametrik,0.7173420192417984,0,1.9539659324070482,0.5119522449665808,,,False
573-F,1,Barat,empiris,1.952461892686114,3,4.917810115636468,0.69052501156407,227000.0,1116342.8962494782,True
573-F,1,Peralihan I,empiris,2.8265203585082816,5,6.181762831571846,0.7379741769381831,227000.0,1403260.162766809,True
573-F,1,Timur,empiris,6.881297067101383,18,8.37366875799618,0.7290156273354843,227000.0,1900822.808065133,True
573-F,1,Peralihan II,empiris,0.7479642782243094,0,2.8315347975933096,0.5266708609349182,227000.0,642758.3990536813,True
573-F,1,Barat,parametrik,1.952461892686114,2,5.71205362746244,0.7459279154805125,227000.0,1296636.173433974,True
573-F,1,Peralihan I,parametrik,2.8265203585082816,5,6.272525027006955,0.7411181000626443,227000.0,1423863.1811305787,True
573-F,1,Timur,parametrik,6.881297067101383,18,8.522652107965841,0.7328042809537737,227000.0,1934642.028508246,True
573-F,1,Peralihan II,parametrik,0.7479642782243094,0,2.857156639308264,0.5266708609349183,227000.0,648574.5571229759,True
573-F,2,Barat,empiris,1.5966326027770776,1,4.491661366614622,0.7312060206260079,420000.0,1886497.7739781411,False
573-F,2,Peralihan I,empiris,2.205845125527978,3,4.780619887742101,0.702778581452662,420000.0,2007860.3528516823,False
573-F,2,Timur,empiris,5.820916388405379,13,7.051115559475855,0.713021068185804,420000.0,2961468.5349798594,False
573-F,2,Peralihan II,empiris,0.51735649854278,0,1.7207757695694221,0.403905756978747,420000.0,722725.8232191573,False
573-F,2,Barat,parametrik,1.5966326027770776,1,4.5950589404077204,0.7244402313624743,420000.0,1929924.7549712425,False
573-F,2,Peralihan I,parametrik,2.205845125527978,3,4.933669753612285,0.7061825320093739,420000.0,2072141.2965171596,False
573-F,2,Timur,parametrik,5.820916388405379,13,7.34042231158705,0.7223277063316313,420000.0,3082977.370866561,False
573-F,2,Peralihan II,parametrik,0.51735649854278,0,1.7557198964757639,0.403905756978747,420000.0,737402.3565198209,False
573-F,3,Barat,empiris,0.8944241258608975,0,2.4645634140335435,0.5911570270435675,,,False
573-F,3,Peralihan I,empiris,1.3878683045288662,1,3.0719356095211174,0.6572924253349842,,,False
573-F,3,Timur,empiris,3.877670294231214,6,5.263001259659804,0.7161278147535932,,,False
573-F,3,Peralihan II,empiris,0.22439976522591254,0,0.6184992646823544,0.20100434016424218,,,False
573-F,3,Barat,parametrik,0.8944241258608975,0,2.520243707613152,0.5911570270435675,,,False
573-F,3,Peralihan I,parametrik,1.3878683045288662,1,3.1578158434613415,0.6475166107686184,,,False
573-F,3,Timur,parametrik,3.877670294231214,6,5.484431512556599,0.7229278239680634,,,False
573-F,3,Peralihan II,parametrik,0.22439976522591254,0,0.632514995273277,0.20100434016424218,,,False
