struktur,harga,lam,E_ret,modal_ret,E_ced,P_RI,loading_RI,multiple_RI,E_gov,p_sentuh_RI,p_sentuh_gov,margin_A ketat,bruto_A ketat,margin_B ramah,bruto_B ramah,d_bruto_pct_A ketat,d_bruto_pct_B ramah
S2 XoL agregat 5->50 thn,coc_div,,269571078327.4012,262669455032.94992,16445807274.10941,21328226751.563232,4882419477.453823,1.2968792833380824,0.0,0.2,0.0,31149364980.748817,396457813227.8243,20642586779.430817,360775849859.9311,-3.8077014459950487,-1.7870609299460383
S2 XoL agregat 5->100 thn,coc_div,,268922028090.84155,218589036219.77643,17094857510.669052,23211528714.891735,6116671204.222683,1.3578076740566696,0.0,0.2,0.0,27975574826.20033,392490575534.6387,19232013377.409267,359116351739.9057,-4.770269719049402,-2.238821178898953
S2 XoL agregat 5->200 thn,coc_div,,268632973581.01352,179261056851.25888,17383912020.49707,24601766647.038246,7217854626.541176,1.415203126777835,0.0,0.2,0.0,25143960311.667065,388951057391.47205,17973518037.616707,357635768987.2086,-5.629060678906583,-2.6418758283031973
S2 XoL agregat 5->500 thn,coc_div,,268484474433.17065,131257139581.28192,17532411168.33998,25577703046.66185,8045291878.321869,1.4588810860681873,0.0,0.2,0.0,21171005836.45006,383984864297.45087,15920720253.198784,355220712770.2464,-6.8340048440563965,-3.299319416002744
S2 XoL agregat 5->inf thn,coc_div,,268389846025.2744,130878673259.16998,17627039576.23621,26199600943.355873,8572561367.119663,1.48633018210708,0.0,0.2,0.0,21660428693.036663,384596642868.1841,16425281762.66986,355814314546.09467,-6.685569411681424,-3.137724965969857
S2 XoL agregat 7->50 thn,coc_div,,275602715102.8175,291964849364.2003,10414170498.693106,14476318934.871918,4062148436.178812,1.3900597207130976,0.0,0.14283,0.0,33258633372.598846,399094398717.63684,21580039398.03083,361878735293.5782,-3.1679884421464855,-1.48682570095805
S2 XoL agregat 7->100 thn,coc_div,,274953664866.2578,247884430551.02692,11063220735.25275,16359620898.20042,5296400162.94767,1.4787394457448353,0.0,0.14283,0.0,30084843218.05036,395127161024.4512,20169465996.009285,360219237173.55286,-4.13055671520085,-1.9385859499109537
S2 XoL agregat 7->200 thn,coc_div,,274664610356.42984,208556451182.5093,11352275245.080765,17749858830.346924,6397583585.266159,1.563550781420526,0.0,0.14283,0.0,27253228703.51709,391587642881.2846,18910970656.216717,358738654420.8557,-4.989347675058009,-2.341640599315209
S2 XoL agregat 7->500 thn,coc_div,,274516111208.5869,160741778427.26593,11500774392.923676,18725795229.970535,7225020837.04686,1.6282203780549205,0.0,0.14283,0.0,23299198679.773453,386645105351.60504,16869527542.682816,356336956640.22754,-6.188552306185069,-2.9954476595302926
S2 XoL agregat 7->inf thn,coc_div,,274421482800.69067,160174067590.4206,11595402800.819904,19347693126.664555,7752290325.84465,1.6685658496741906,0.0,0.14283,0.0,23769697084.88671,387233228357.99664,17362734381.269886,356917199979.7418,-6.045856407832851,-2.8374897369818575
S2 XoL agregat 10->50 thn,coc_div,,279690373932.6866,321757950494.33124,6326511668.823973,9554453273.359121,3227941604.5351486,1.510224555570161,0.0,0.09999,0.0,35403736653.96828,401775777819.3486,22533418634.195023,363000357924.35956,-2.517407193694443,-1.1814897003934566
S2 XoL agregat 10->100 thn,coc_div,,279041323696.127,277677531681.1578,6975561905.383617,11437755236.687622,4462193331.304005,1.6396894460731775,0.0,0.09999,0.0,32229946499.419785,397808540126.163,21122845232.17347,361340859804.3342,-3.479975466748775,-1.6332499493463604
S2 XoL agregat 10->200 thn,coc_div,,278752269186.29895,238349552312.6402,7264616415.211635,12827993168.834131,5563376753.622497,1.7658183771373182,0.0,0.09999,0.0,29398331984.88652,394269021982.9964,19864349892.38091,359860277051.63715,-4.338766426605956,-2.0363045987505934
S2 XoL agregat 10->500 thn,coc_div,,278603770038.45605,190818729772.67145,7413115563.054545,13803929568.45774,6390814005.403195,1.8620955590188972,0.0,0.09999,0.0,25472686982.67034,389361965730.2262,17839937791.76348,357478615756.7931,-5.529362258845294,-2.684657185895334
S2 XoL agregat 10->inf thn,coc_div,,278509141630.5598,189967168720.5514,7507743970.950775,14425827465.15176,6918083494.200985,1.921459698275364,0.0,0.09999,0.0,25914800366.256126,389914607459.7084,18316113617.434067,358038822610.5232,-5.395275159380808,-2.532153736417264
S2 XoL agregat 15->50 thn,coc_div,,282598490456.38574,354038698281.7433,3418395145.1248426,5742475811.612455,2324080666.4876127,1.679874785629189,0.0,0.06666,0.0,37727950494.66194,404681045120.21564,23566402563.392212,364215633135.1798,-1.8125040986869512,-0.8506589358620253
S2 XoL agregat 15->100 thn,coc_div,,281949440219.82605,309958279468.5697,4067445381.6844864,7625777774.940958,3558332393.2564716,1.8748322495686047,0.0,0.06666,0.0,34554160340.11344,400713807427.0301,22155829161.37065,362556135015.1545,-2.775072371741294,-1.3024191848149291
S2 XoL agregat 15->200 thn,coc_div,,281660385709.9981,270630300100.0522,4356499891.512504,9016015707.087467,4659515815.574964,2.0695549022399398,0.0,0.06666,0.0,31722545825.58018,397174289283.8635,20897333821.578094,361075552262.45734,-3.6338633315984525,-1.7054738342191844
S2 XoL agregat 15->500 thn,coc_div,,281511886562.1552,223572004860.13055,4504999039.355414,9991952106.711075,5486953067.35566,2.2179698640159415,0.0,0.06666,0.0,27844153553.368717,392326298943.5991,18901273358.963493,358727245835.8519,-4.810128040322114,-2.344746324557867
S2 XoL agregat 15->inf thn,coc_div,,281417258154.259,222247916507.96338,4599627447.251644,10613850003.405094,6014222556.15345,2.307545583881375,0.0,0.06666,0.0,28239014206.94979,392819874760.57544,19349097546.631252,359254097821.3434,-4.6903720643733156,-2.201322971885855
S2 XoL agregat 20->50 thn,coc_div,,283875930150.94305,374702429549.519,2140955450.567573,3886451641.557467,1745496190.989894,1.8152884220580854,0.0,0.05,0.0,39215739145.94179,406540780934.3155,24227641963.961033,364993561841.7314,-1.3612776208809296,-0.6388857124407288
S2 XoL agregat 20->100 thn,coc_div,,283226879914.3834,330622010736.34534,2790005687.127217,5769753604.885969,2979747917.7587523,2.068007829341347,0.0,0.05,0.0,36041948991.39329,402573543241.1299,22817068561.939472,363334063721.706,-2.3238458939352835,-1.0906459613936548
S2 XoL agregat 20->200 thn,coc_div,,282937825404.55536,291294031367.82794,3079060196.955235,7159991537.03248,4080931340.077245,2.32538212280251,0.0,0.05,0.0,33210334476.86004,399034025097.9633,21558573222.14692,361853480969.00885,-3.182636853792453,-1.49370061079791
S2 XoL agregat 20->500 thn,coc_div,,282789326256.71246,244709587525.7672,3227559344.798145,8135927936.656084,4908368591.857939,2.520767882941875,0.0,0.05,0.0,29379327344.43466,394245266182.43164,19590943843.40397,359538622876.3701,-4.344530280877635,-2.123867560432746
S2 XoL agregat 20->inf thn,coc_div,,282694697848.8162,242911647775.7389,3322187752.694375,8757825833.350107,5435638080.655732,2.6361622175770463,0.0,0.05,0.0,29726802858.22962,394679610574.6753,20010336947.200066,360032026527.89496,-4.239145586567295,-1.9895497484645475
S3 XoL 2->20 + pemerintah >20 thn,coc_div,,226303197278.42896,49047608088.23767,56391500570.38722,61819693681.63726,5428193111.250038,1.0962590648651853,3322187752.694375,0.49993,0.05,10332953920.073807,370437299401.98047,8371049596.544298,346338747291.82935,-10.121041607173431,-5.71723052256038
S3 XoL 2->50 + pemerintah >50 thn,coc_div,,226303197278.42896,49047608088.23767,58532456020.95479,65706145323.19472,7173689302.239929,1.1225591712685306,1181232302.126802,0.49993,0.02,12078450111.063698,372619169640.7179,10116545787.53419,348392272222.40564,-9.591655865719728,-5.158205524174731
S3 XoL 2->100 + pemerintah >100 thn,coc_div,,226303197278.42896,49047608088.23767,59181506257.51443,67589447286.52322,8407941029.008789,1.1420704128824233,532182065.5671582,0.49993,0.01,13312701837.832558,374161984299.17896,11350797514.30305,349844333077.42786,-9.217323759531926,-4.762915306340931
S3 XoL 3->20 + pemerintah >20 thn,coc_div,,252109958504.22757,85514437520.21677,30584739344.58862,34991861231.74324,4407121887.154621,1.144095453536516,3322187752.694375,0.33308,0.05,12958565639.176298,373719314050.8586,9537988138.367626,347711616164.5626,-9.324728550827944,-5.34349850307716
S3 XoL 3->50 + pemerintah >50 thn,coc_div,,252109958504.22757,85514437520.21677,32725694795.1562,38878312873.30071,6152618078.144512,1.1880057281184195,1181232302.126802,0.33308,0.02,14704061830.16619,375901184289.596,11283484329.357517,349765141095.13904,-8.79534280937423,-4.784473504691478
S3 XoL 3->100 + pemerintah >100 thn,coc_div,,252109958504.22757,85514437520.21677,33374745031.71584,40761614836.62921,7386869804.913372,1.2213311232158828,532182065.5671582,0.33308,0.01,15938313556.93505,377443998948.05707,12517736056.126377,351217201950.1612,-8.421010703186427,-4.389183286857701
S3 XoL 5->20 + pemerintah >20 thn,coc_div,,268389846025.2744,130878673259.16998,14304851823.541836,17441775110.005768,3136923286.463932,1.2192908619508678,3322187752.694375,0.2,0.05,16224790612.380932,377802095267.3644,10989643682.01413,349419446215.9115,-8.334126028679822,-4.878580995876347
S3 XoL 5->50 + pemerintah >50 thn,coc_div,,268389846025.2744,130878673259.16998,16445807274.10941,21328226751.563232,4882419477.453823,1.2968792833380824,1181232302.126802,0.2,0.02,17970286803.370823,379983965506.1018,12735139873.00402,351472971146.48785,-7.8047402872261085,-4.319555997490687
S3 XoL 5->100 + pemerintah >100 thn,coc_div,,268389846025.2744,130878673259.16998,17094857510.669052,23211528714.891735,6116671204.222683,1.3578076740566696,532182065.5671582,0.2,0.01,19204538530.139683,381526780164.56287,13969391599.77288,352925032001.51,-7.430408181038306,-3.924265779656899
S3 XoL 10->20 + pemerintah >20 thn,coc_div,,278509141630.5598,189967168720.5514,4185556218.2564,5668001631.801654,1482445413.5452538,1.3541812213820423,3322187752.694375,0.09999,0.05,20479162285.600395,383120059858.88873,12880475536.778337,351643954280.33997,-7.043831776379195,-4.273009766323755
S3 XoL 10->50 + pemerintah >50 thn,coc_div,,278509141630.5598,189967168720.5514,6326511668.823973,9554453273.359121,3227941604.5351486,1.510224555570161,1181232302.126802,0.09999,0.02,22224658476.59029,385301930097.6261,14625971727.768232,353697479210.9163,-6.514446034925503,-3.7139847679381055
S3 XoL 10->100 + pemerintah >100 thn,coc_div,,278509141630.5598,189967168720.5514,6975561905.383617,11437755236.687622,4462193331.304005,1.6396894460731775,532182065.5671582,0.09999,0.01,23458910203.359146,386844744756.08716,15860223454.537088,355149540065.93854,-6.1401139287377005,-3.3186945501042953
