struktur,harga,lam,zona,tier,premi_murni,bruto_A ketat,bruto_B ramah
S3 XoL 2->50 + pemerintah >50 thn,wang,0.2,573-A,2,10829805.45,14560996.7065567,13606067.217671208
S3 XoL 2->50 + pemerintah >50 thn,wang,0.2,573-F,1,4321598.76,5520342.062063658,5217437.421676806
S3 XoL 2->100 + pemerintah >100 thn,wang,0.2,573-A,1,4144192.22,5582627.150624234,5215615.6397347255
S3 XoL 2->100 + pemerintah >100 thn,wang,0.2,573-A,2,10829805.45,14581352.74485916,13625225.031965286
S3 XoL 2->100 + pemerintah >100 thn,wang,0.2,573-F,1,4321598.76,5523947.761458332,5220833.2986964835
S3 XoL 3->20 + pemerintah >20 thn,wang,0.2,573-A,1,4144192.22,5533815.374795708,5142626.675365314
S3 XoL 3->20 + pemerintah >20 thn,wang,0.2,573-A,2,10829805.45,14454503.558477798,13434982.761252532
S3 XoL 3->20 + pemerintah >20 thn,wang,0.2,573-F,1,4321598.76,5451819.317024892,5152216.684638535
S3 XoL 3->50 + pemerintah >50 thn,wang,0.2,573-A,1,4144192.22,5555295.587805274,5162843.346433141
S3 XoL 3->50 + pemerintah >50 thn,wang,0.2,573-A,2,10829805.45,14510806.03774953,13487973.329978868
S3 XoL 3->50 + pemerintah >50 thn,wang,0.2,573-F,1,4321598.76,5462558.423616079,5162324.079077299
S3 XoL 3->100 + pemerintah >100 thn,wang,0.2,573-A,1,4144192.22,5563034.628673206,5170127.149602961
S3 XoL 3->100 + pemerintah >100 thn,wang,0.2,573-A,2,10829805.45,14531159.92451449,13507129.929287063
S3 XoL 3->100 + pemerintah >100 thn,wang,0.2,573-F,1,4321598.76,5466170.172857586,5165723.3724810695
S3 XoL 5->20 + pemerintah >20 thn,wang,0.2,573-A,1,4144192.22,5543011.10962365,5117920.694119423
S3 XoL 5->20 + pemerintah >20 thn,wang,0.2,573-A,2,10829805.45,14479332.75401461,13371022.182132322
S3 XoL 5->20 + pemerintah >20 thn,wang,0.2,573-F,1,4321598.76,5413614.5582704805,5111994.094866494
S3 XoL 5->50 + pemerintah >50 thn,wang,0.2,573-A,1,4144192.22,5564583.358627646,5138189.338454693
S3 XoL 5->50 + pemerintah >50 thn,wang,0.2,573-A,2,10829805.45,14536016.011516308,13424227.778564991
S3 XoL 5->50 + pemerintah >50 thn,wang,0.2,573-F,1,4321598.76,5423152.504425446,5121423.186941273
S3 XoL 5->100 + pemerintah >100 thn,wang,0.2,573-A,1,4144192.22,5572345.07777589,5145485.9481828045
S3 XoL 5->100 + pemerintah >100 thn,wang,0.2,573-A,2,10829805.45,14556470.58054267,13443441.23373845
S3 XoL 5->100 + pemerintah >100 thn,wang,0.2,573-F,1,4321598.76,5426461.116271722,5124651.296874797
S3 XoL 10->20 + pemerintah >20 thn,wang,0.2,573-A,1,4144192.22,5598545.048177309,5124664.111231181
S3 XoL 10->20 + pemerintah >20 thn,wang,0.2,573-A,2,10829805.45,14641340.427543346,13398229.539633205
S3 XoL 10->20 + pemerintah >20 thn,wang,0.2,573-F,1,4321598.76,5310510.217286028,5039506.274398018
S3 XoL 10->50 + pemerintah >50 thn,wang,0.2,573-A,1,4144192.22,5614168.845606405,5141573.629971213
S3 XoL 10->50 + pemerintah >50 thn,wang,0.2,573-A,2,10829805.45,14668721.04911571,13434887.765188133
S3 XoL 10->50 + pemerintah >50 thn,wang,0.2,573-F,1,4321598.76,5402584.034944174,5095543.858615769
S3 XoL 10->100 + pemerintah >100 thn,wang,0.2,573-A,1,4144192.22,5622022.810723305,5148922.331540449
S3 XoL 10->100 + pemerintah >100 thn,wang,0.2,573-A,2,10829805.45,14689471.749119237,13454268.447266346
S3 XoL 10->100 + pemerintah >100 thn,wang,0.2,573-F,1,4321598.76,5404778.097584137,5098142.5760563165
S1 quota share 50%,wang,0.3,573-A,1,4144192.22,6012154.4095132705,5497457.002365432
S1 quota share 50%,wang,0.3,573-A,2,10829805.45,15718490.094933344,14367099.041113736
S1 quota share 50%,wang,0.3,573-F,1,4321598.76,5467321.65297811,5134529.432449986
