zona,tier,lat,lon,skenario,subsidi,premi_dibayar,rata_tanpa,rata_dengan,sd_tanpa,sd_dengan,p90_tanpa,p90_dengan,maks_tanpa,maks_dengan,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,-8.5,115.5,A ketat,0.0,6035771.9975,11763208.333333334,13838730.33083333,2933762.9343064083,1518971.9200303142,15493800.0,15518671.997499999,16492000.0,16234771.997499999,0.3366641045349731,0.3815789473684211,25.0,7.24
573-A,1,-9.0,114.5,A ketat,0.0,6035771.9975,11582375.0,13657896.997499997,2419637.7884249357,1036383.0629940213,14408800.0,15171471.997499999,14756000.0,15366771.997499999,0.34192037470725994,0.4117647058823529,25.52,7.24
573-A,1,-9.0,115.0,A ketat,0.0,6035771.9975,11627583.333333334,13703105.33083333,2545086.8938213973,1243555.4100927769,14539000.0,15236571.997499999,14756000.0,16234771.997499999,0.3405909797822706,0.5,26.48,7.24
573-A,1,-9.0,115.5,A ketat,0.0,6035771.9975,11690875.0,13766396.997499997,2676359.8950894997,1301705.129653109,14756000.0,15518671.997499999,15624000.0,16017771.997499999,0.33874709976798145,0.4722222222222222,26.28,7.24
573-A,1,-9.0,117.0,A ketat,0.0,6035771.9975,11690875.0,13766396.997499997,2617576.248837512,1172625.2528816068,14842800.0,15171471.997499999,16709000.0,16451771.997499999,0.33874709976798145,0.37662337662337664,25.76,7.24
573-A,1,-9.0,117.5,A ketat,0.0,6035771.9975,11736083.333333334,13811605.33083333,2588161.676232542,1144088.1566317028,15081500.0,15540371.997499999,16492000.0,16234771.997499999,0.337442218798151,0.3815789473684211,27.04,7.24
573-A,1,-9.0,118.0,A ketat,0.0,6035771.9975,11528125.0,13603646.997499997,2550226.713067581,1166498.4135921674,14495600.0,14889371.997499999,16275000.0,16668771.997499999,0.34352941176470586,0.38666666666666666,26.64,7.24
573-A,1,-9.0,118.5,A ketat,0.0,6035771.9975,11410583.333333334,13486105.33083333,2709510.6716361432,1340226.2841601127,14473900.0,14867671.997499999,15841000.0,17102771.9975,0.3470681458003169,0.4657534246575342,25.6,7.24
573-A,1,-9.0,119.0,A ketat,0.0,6035771.9975,11510041.666666666,13585563.664166665,3034951.8222544813,1921803.8849220406,14907900.0,15952671.997499999,17360000.0,18404771.9975,0.3440691280439906,0.425,25.24,7.24
573-A,1,-7.0,106.0,A ketat,0.5,3017885.99875,11012750.0,10070385.99875,2286012.9759226996,1631426.423076764,13258700.0,11849785.99875,15841000.0,13867885.998750001,0.35960591133004927,0.3150684931506849,28.4,7.24
573-A,1,-7.5,106.0,A ketat,0.5,3017885.99875,11202625.0,10260260.99875,2219268.148316114,1678208.2270269298,13974800.0,12001685.998750001,15624000.0,13650885.998750001,0.35351089588377727,0.3194444444444444,29.0,7.24
573-A,1,-7.5,106.5,A ketat,0.5,3017885.99875,11256875.0,10314510.99875,2403081.4513779017,1577595.3857332869,14278600.0,11914885.998750001,15841000.0,13867885.998750001,0.35180722891566263,0.3150684931506849,27.88,7.24
573-A,1,-7.5,107.0,A ketat,0.5,3017885.99875,11401541.666666666,10459177.665416665,2229545.9662405956,1012736.8635090488,14039900.0,11415785.99875,14973000.0,12999885.998750001,0.34734337827121337,0.3333333333333333,27.64,7.24
573-A,1,-7.5,107.5,A ketat,0.5,3017885.99875,11528125.0,10585760.99875,2565434.7595358533,1183919.5519268967,14256900.0,12283785.998750001,15841000.0,12782885.998750001,0.34352941176470586,0.3835616438356164,27.28,7.24
573-A,1,-8.0,107.5,A ketat,0.5,3017885.99875,11392500.0,10450135.99875,2094139.2130128935,1299245.2742298879,13454000.0,12088485.99875,15190000.0,13216885.99875,0.3476190476190476,0.38571428571428573,27.56,7.24
573-A,1,-8.0,108.0,A ketat,0.5,3017885.99875,11329208.333333334,10386844.332083331,2199033.9376776274,1092482.712196983,13974800.0,11784685.998750001,14756000.0,12999885.99875,0.349561053471668,0.39705882352941174,25.8,7.24
573-A,1,-8.0,108.5,A ketat,0.5,3017885.99875,11419625.0,10477260.99875,2220190.4895262048,867557.6318408004,14039900.0,11697885.99875,14756000.0,11914885.99875,0.34679334916864607,0.4117647058823529,27.12,7.24
573-A,1,-8.0,109.0,A ketat,0.5,3017885.99875,11528125.0,10585760.998750001,2277095.581666145,943307.2399346059,14105000.0,11849785.998750001,14973000.0,12348885.99875,0.34352941176470586,0.4057971014492754,27.28,7.24
573-A,1,-8.0,109.5,A ketat,0.5,3017885.99875,11627583.333333334,10685219.332083335,2458338.7801462626,1021167.220759472,14973000.0,11914885.99875,15190000.0,13216885.998750001,0.3405909797822706,0.32857142857142857,27.12,7.24
573-A,1,-8.5,109.5,A ketat,0.5,3017885.99875,11320166.666666666,10377802.665416665,1920405.135396688,1142745.2421278318,13605900.0,11567685.99875,13888000.0,12782885.99875,0.3498402555910543,0.4375,26.8,7.24
573-A,1,-8.5,110.0,A ketat,0.5,3017885.99875,11365375.0,10423010.99875,1926946.0815204345,1183919.5519268962,13454000.0,11849785.99875,14322000.0,13216885.99875,0.34844868735083534,0.3939393939393939,27.24,7.24
573-A,1,-8.5,110.5,A ketat,0.5,3017885.99875,11374416.666666666,10432052.665416665,2004134.5289538146,833506.6660314366,13475700.0,11480885.99875,14756000.0,12131885.998750001,0.3481717011128776,0.38235294117647056,27.2,7.24
573-A,1,-8.5,111.0,A ketat,0.5,3017885.99875,11473875.0,10531510.99875,2157996.420041758,709140.1905001642,14039900.0,11263885.998750001,15407000.0,12131885.99875,0.34515366430260047,0.4788732394366197,26.84,7.24
573-A,1,-8.5,111.5,A ketat,0.5,3017885.99875,11591416.666666666,10649052.665416667,2242307.9708710588,676195.988225865,14322000.0,11632785.998750001,14973000.0,11914885.99875,0.3416536661466459,0.4927536231884058,26.8,7.24
573-A,1,-8.5,112.0,A ketat,0.5,3017885.99875,11555250.0,10612885.998750001,2328604.886491331,695107.2485282558,14473900.0,11480885.998750001,15190000.0,11914885.998750001,0.3427230046948357,0.4142857142857143,26.8,7.24
573-A,1,-8.5,112.5,A ketat,0.5,3017885.99875,11609500.0,10667135.99875,2231400.88577635,566047.6435624558,14256900.0,11263885.998750001,14973000.0,11914885.99875,0.3411214953271028,0.4927536231884058,26.36,7.24
573-A,1,-8.5,113.0,A ketat,0.5,3017885.99875,11591416.666666666,10649052.665416667,2299110.8851725357,1085314.44718817,14473900.0,11914885.998750001,15190000.0,12131885.998750001,0.3416536661466459,0.4,24.56,7.24
573-A,1,-8.5,113.5,A ketat,0.5,3017885.99875,11645666.666666666,10703302.665416667,2556924.726692402,1298719.9020797256,14690900.0,12283785.99875,15190000.0,12348885.998750001,0.34006211180124224,0.4,24.8,7.24
573-A,1,-8.5,114.0,A ketat,0.5,3017885.99875,11654708.333333334,10712344.332083333,2610658.079275043,1406290.4016740571,14625800.0,12131885.998750001,15841000.0,12999885.998750001,0.3397982932505818,0.3698630136986301,24.44,7.24
573-A,1,-8.5,114.5,A ketat,0.5,3017885.99875,11663750.0,10721385.998750001,2776191.7965631173,1342261.5568347785,14973000.0,12066785.998750001,15841000.0,13867885.998750001,0.3395348837209302,0.3150684931506849,28.68,7.24
573-A,1,-8.5,115.5,A ketat,0.5,3017885.99875,11763208.333333334,10820844.332083335,2933762.9343064083,1518971.9200303147,15493800.0,12500785.998750001,16492000.0,13216885.998750001,0.3366641045349731,0.3815789473684211,25.0,7.24
573-A,1,-9.0,114.5,A ketat,0.5,3017885.99875,11582375.0,10640010.99875,2419637.7884249357,1036383.0629940215,14408800.0,12153585.99875,14756000.0,12348885.99875,0.34192037470725994,0.4117647058823529,25.52,7.24
573-A,1,-9.0,115.0,A ketat,0.5,3017885.99875,11627583.333333334,10685219.332083333,2545086.8938213973,1243555.4100927773,14539000.0,12218685.99875,14756000.0,13216885.99875,0.3405909797822706,0.5,26.48,7.24
573-A,1,-9.0,115.5,A ketat,0.5,3017885.99875,11690875.0,10748510.99875,2676359.8950894997,1301705.1296531095,14756000.0,12500785.99875,15624000.0,12999885.99875,0.33874709976798145,0.4722222222222222,26.28,7.24
573-A,1,-9.0,117.0,A ketat,0.5,3017885.99875,11690875.0,10748510.99875,2617576.248837512,1172625.252881607,14842800.0,12153585.998750001,16709000.0,13433885.998750001,0.33874709976798145,0.37662337662337664,25.76,7.24
